Symbol,Name,trading_name ,Sector,,,
2030,Saudi Arabia Refineries Co.,SARCO,Energy,,,
2222,Saudi Arabian Oil Co.,SAUDI ARAMCO,Energy,,,
2380,Rabigh Refining and Petrochemical Co.,PETRO RABIGH,Energy,,,
4030,National Shipping Company of Saudi Arabia,BAHRI,Energy,,,
4200,Aldrees Petroleum and Transport Services Co.,ALDREES,Energy,,,
1201,Takween Advanced Industries Co.,TAKWEEN,Materials,,,
1202,Middle East Paper Co.,MEPCO,Materials,,, 
1210,Basic Chemical Industries Co.,BCI,Materials,,,
1211,Saudi Arabian Mining Co.,MAADEN,Materials,,,
1301,United Wire Factories Co.,ASLAK,Materials,,,
1304,Al Yamamah Steel Industries Co.,ALYAMAMAH STEEL,Materials,,,
1320,Saudi Steel Pipe Co.,SSP,Materials,,,
2001,Methanol Chemicals Co.,CHEMANOL,Materials,,,
2002,National Petrochemical Co.,PETROCHEM,Materials,,,
2010,Saudi Basic Industries Corp.,SABIC,Materials,,,
2020,Saudi Arabian Fertilizer Co.,SAFCO,Materials,,,
2060,National Industrialization Co.,TASNEE,Materials,,,
2090,National Gypsum Co.,NGC,Materials,,,
2150,The National Company for Glass Industries,ZOUJAJ,Materials,,,
2170,Alujain Holding Corp.,ALUJAIN,Materials,,,
2180,Filing and Packing Materials Manufacturing Co.,FIPCO,Materials,,,
2200,Arabian Pipes Co.,APC,Materials,,,
2210,Nama Chemicals Co.,NAMA CHEMICALS,Materials,,,
2220,National Metal Manufacturing and Casting Co.,MAADANIYAH,Materials,,,
2240,Zamil Industrial Investment Co.,ZAMIL INDUST,Materials,,,
2250,Saudi Industrial Investment Group,SIIG,Materials,,,
2290,Yanbu National Petrochemical Co.,YANSAB,Materials,,,
2300,Saudi Paper Manufacturing Co.,SPM,Materials,,,
2310,Sahara International Petrochemical Co.,SIPCHEM,Materials,,,
2330,Advanced Petrochemical Co.,ADVANCED,Materials,,,
2350,Saudi Kayan Petrochemical Co.,SAUDI KAYAN,Materials,,,
3001,Hail Cement Co.,HCC,Materials,,,
3002,Najran Cement Co.,NAJRAN CEMENT,Materials,,,
3003,City Cement Co.,CITY CEMENT,Materials,,,
3004,Northern Region Cement Co.,NORTHERN CEMENT,Materials,,,
3005,Umm Al-Qura Cement Co.,UACC,Materials,,,
3007,Zahrat Al Waha for Trading Co.,OASIS,Materials,,,
3008,Al Kathiri Holding Co.,ALKATHIRI,Materials,,,
3010,Arabian Cement Co.,ACC,Materials,,,
3020,Yamama Cement Co.,YSCC,Materials,,,
3030,Saudi Cement Co.,SAUDI CEMENT,Materials,,,
3040,Qassim Cement Co.,QACCO,Materials,,,
3050,Southern Province Cement Co.,SPCC,Materials,,,
3060,Yanbu Cement Co.,YCC,Materials,,,
3080,Eastern Province Cement Co.,EPCCO,Materials,,,
3090,Tabuk Cement Co.,TCC,Materials,,,
3091,Al Jouf Cement Co.,JOUF CEMENT,Materials,,,
1212,Astra Industrial Group,ASTRA INDUSTRIAL,Industrials,,,
1302,Bawan Co.,BAWAN,Industrials,,,
1303,Electrical Industries Co.,EIC,Industrials,,,
1330,Abdullah A. M. Al-Khodari Sons Co.,ALKHODARI,Industrials,,,
2040,Saudi Ceramic Co.,SAUDI CERAMICS,Industrials,,,
2110,Saudi Cable Co.,SAUDI CABLE,Industrials,,,
2140,Al-Ahsa Development Co.,ADC,Industrials,,,
2160,Saudi Arabian Amiantit Co.,AMIANTIT,Industrials,,,
2320,Al-Babtain Power and Telecommunication Co.,ALBABTAIN,Industrials,,,
2360,Saudi Vitrified Clay Pipes Co.,SVCP,Industrials,,,
2370,Middle East Specialized Cables Co.,MESC,Industrials,,,
4140,Saudi Industrial Export Co.,SIECO,Industrials,,,
1831,Maharah Human Resources Co.,MAHARAH,Industrials,,,
4270,Saudi Printing and Packaging Co.,SPPC,Industrials,,,
6004,Saudi Airlines Catering Co.,CATERING,Industrials,,,
2190,Saudi Industrial Services Co.,SISCO,Industrials,,,
4031,Saudi Ground Services Co.,SGS,Industrials,,,
4040,Saudi Public Transport Co.,SAPTCO,Industrials,,,
4110,Batic Investments and Logistics Co.,BATIC,Industrials,,,
4260,United International Transportation Co.,BUDGET SAUDI,Industrials,,,
1213,Al Sorayai Trading and Industrial Group,ALSORAYAI GROUP,Consumer Discretionary,,,
2130,Saudi Industrial Development Co.,SIDC,Consumer Discretionary,,,
2340,Al Abdullatif Industrial Investment Co.,ALABDULLATIF,Consumer Discretionary,,,
4011,Lazurde Company for Jewelry,LAZURDE,Consumer Discretionary,,,
4012,Thob Al Aseel Co.,ALASEEL,Consumer Discretionary,,,
4180,Fitaihi Holding Group,FITAIHI GROUP,Consumer Discretionary,,,
1810,Seera Group Holding,SEERA,Consumer Discretionary,,,
1820,Abdulmohsen Alhokair Group for Tourism and Development,ALHOKAIR GROUP,Consumer Discretionary,,,
1830,Leejam Sports Co.,FITNESS TIME,Consumer Discretionary,,,
4010,Dur Hospitality Co.,DUR,Consumer Discretionary,,,
4170,Tourism Enterprise Co.,TECO,Consumer Discretionary,,,
4290,Alkhaleej Training and Education Co.,ALKHALEEJ TRNG,Consumer Discretionary,,,
4291,National Company for Learning and Education,NCLE,Consumer Discretionary,,,
4292,Ataa Educational Co.,ATAA,Consumer Discretionary,,,
